attempt,epoch,training_error,nonzero_params,delta_time
0,0,0.10429699658522022,7767,0.08183908462524414
0,1,0.06802938228652719,7764,0.08327913284301758
0,2,0.05212225267748376,7756,0.08379411697387695
0,3,0.04580906155862607,7756,0.08059024810791016
0,4,0.04242935018943055,7742,0.07905769348144531
0,5,0.040028183627442156,7747,0.07523679733276367
0,6,0.03821284636299342,7748,0.07268691062927246
0,7,0.03680044776467836,7762,0.07226800918579102
0,8,0.03564150052591998,7749,0.07357001304626465
0,9,0.03459062968016053,7755,0.0735328197479248
0,10,0.032929292228181646,7760,0.07899808883666992
0,11,0.029502708096884947,7760,0.08063387870788574
0,12,0.025765834700832768,7762,0.0811760425567627
0,13,0.02321751287374264,7754,0.08109807968139648
0,14,0.02156144620617785,7756,0.08524703979492188
0,15,0.02038069607117698,7752,0.08333897590637207
0,16,0.01947490663528305,7756,0.07588386535644531
0,17,0.018749540537878202,7758,0.07581305503845215
0,18,0.01814328404090017,7762,0.07822704315185547
0,19,0.01761819321720678,7758,0.08334112167358398
0,20,0.017151326303404223,7753,0.08173012733459473
0,21,0.016727825061941856,7756,0.07893109321594238
0,22,0.016336926305367594,7755,0.08213305473327637
0,23,0.01597031562360241,7754,0.07679915428161621
0,24,0.015622055732604617,7760,0.07714724540710449
0,25,0.015289274410969894,7758,0.07554507255554199
0,26,0.014972514201948567,7755,0.07582998275756836
0,27,0.014674783367602588,7753,0.07617902755737305
0,28,0.014397833097444933,7756,0.07776498794555664
0,29,0.014139402060398694,7752,0.0832209587097168
0,30,0.013895853802350299,7756,0.07903599739074707
0,31,0.013664470764836434,7756,0.07734179496765137
0,32,0.013443547152567034,7757,0.0798790454864502
0,33,0.013232004576590278,7760,0.07625889778137207
0,34,0.013029120675905823,7759,0.07444000244140625
0,35,0.012834375762409356,7757,0.0766911506652832
0,36,0.012647330720167878,7753,0.07522368431091309
0,37,0.01246752676422368,7751,0.07437419891357422
0,38,0.012294480070473858,7751,0.07520627975463867
0,39,0.012127772180645398,7757,0.07423090934753418
0,40,0.011967127298957188,7765,0.07534313201904297
0,41,0.01181238366811886,7764,0.07482194900512695
0,42,0.011663379710363435,7757,0.07676506042480469
0,43,0.011519856851393577,7759,0.07807207107543945
0,44,0.0113814528804634,7761,0.07559871673583984
0,45,0.011247761365352351,7764,0.0757758617401123
0,46,0.011118383504922806,7760,0.07523703575134277
0,47,0.010992937171586564,7757,0.07451009750366211
0,48,0.010871034930655794,7755,0.07488107681274414
0,49,0.010752252521591003,7754,0.07483696937561035
1,0,0.10111385005735365,7761,0.08122587203979492
1,1,0.06899709816289638,7764,0.07867121696472168
1,2,0.05891460146933346,7782,0.08227300643920898
1,3,0.05187946566793048,7775,0.0737159252166748
1,4,0.04463891484892791,7769,0.07588791847229004
1,5,0.03923403836964074,7774,0.07500696182250977
1,6,0.03582072563590341,7770,0.07512807846069336
1,7,0.03337292672438104,7767,0.07826113700866699
1,8,0.031494980424028526,7768,0.07638216018676758
1,9,0.029965700708168383,7771,0.07906818389892578
1,10,0.02867612354420751,7764,0.08388710021972656
1,11,0.027560587805078435,7757,0.08234429359436035
1,12,0.026577978321269232,7754,0.080780029296875
1,13,0.025706431195491927,7754,0.0852501392364502
1,14,0.02492687569838004,7760,0.0843667984008789
1,15,0.024210782078950062,7759,0.08461499214172363
1,16,0.023536916728272027,7770,0.08390998840332031
1,17,0.022892203877361923,7767,0.08351898193359375
1,18,0.022211077946458505,7770,0.0819849967956543
1,19,0.021272774625951153,7763,0.08226323127746582
1,20,0.019946700374683907,7755,0.07743692398071289
1,21,0.018832752796819712,7760,0.07634115219116211
1,22,0.017997172707679268,7758,0.07396197319030762
1,23,0.017291558535006794,7754,0.08201313018798828
1,24,0.016657512746876983,7757,0.07868099212646484
1,25,0.016088907084265573,7759,0.07767295837402344
1,26,0.015601773481615084,7767,0.07744121551513672
1,27,0.015175771982840787,7757,0.07592391967773438
1,28,0.014797902433257471,7761,0.08060598373413086
1,29,0.01445980510454287,7761,0.07400393486022949
1,30,0.014153985619776582,7755,0.0749046802520752
1,31,0.013874836546030566,7761,0.07630324363708496
1,32,0.013617804424014071,7751,0.07495284080505371
1,33,0.013379233071802546,7754,0.07451701164245605
1,34,0.013156275523445412,7755,0.07456612586975098
1,35,0.012946699921393252,7755,0.07580399513244629
1,36,0.01274869880914998,7755,0.07458209991455078
1,37,0.012560748072266172,7750,0.07390880584716797
1,38,0.012381510450608823,7752,0.07486200332641602
1,39,0.012209768068348628,7753,0.07879972457885742
1,40,0.012044374768432155,7755,0.08217525482177734
1,41,0.01188422867051617,7753,0.08032631874084473
1,42,0.011728270875087548,7751,0.08379173278808594
1,43,0.011575507681447975,7753,0.08027505874633789
1,44,0.01142501955988794,7747,0.08455204963684082
1,45,0.011275879274897154,7755,0.07738184928894043
1,46,0.011126945964722352,7763,0.07915806770324707
1,47,0.010976724990233616,7755,0.07899284362792969
1,48,0.010823757798920258,7759,0.07712793350219727
1,49,0.010667681517074215,7761,0.0769200325012207
2,0,0.11108669801245229,7771,0.08017396926879883
2,1,0.07443820561637904,7769,0.08033013343811035
2,2,0.05932541746427985,7766,0.0757288932800293
2,3,0.04873441754906189,7764,0.07563900947570801
2,4,0.042047358406092764,7747,0.07619404792785645
2,5,0.037778670532717024,7750,0.07496070861816406
2,6,0.03447420786846253,7753,0.0763702392578125
2,7,0.030941683015842096,7758,0.0765988826751709
2,8,0.02804885311964337,7762,0.07889795303344727
2,9,0.025807673377618735,7758,0.07864689826965332
2,10,0.024128805913409608,7760,0.07714509963989258
2,11,0.02280666210796755,7762,0.07707095146179199
2,12,0.021695822345779017,7754,0.07642006874084473
2,13,0.02073371472354939,7755,0.07738804817199707
2,14,0.019883850873423575,7762,0.0762028694152832
2,15,0.019127145687605998,7756,0.08008909225463867
2,16,0.018457356575980067,7764,0.07515311241149902
2,17,0.017867596642659973,7753,0.07885217666625977
2,18,0.01734636366369542,7751,0.07458901405334473
2,19,0.01688155784927049,7747,0.07584691047668457
2,20,0.01646290797210684,7751,0.07364487648010254
2,21,0.016081984587225533,7748,0.07455801963806152
2,22,0.01573186456720792,7749,0.07337594032287598
2,23,0.015406968717781482,7744,0.07522010803222656
2,24,0.015102871296621443,7756,0.07553505897521973
2,25,0.014816069301568275,7753,0.07573890686035156
2,26,0.014543792472834355,7749,0.07339119911193848
2,27,0.014283890673206952,7744,0.07758069038391113
2,28,0.014034801919088144,7744,0.07644414901733398
2,29,0.013795585941177144,7748,0.08406496047973633
2,30,0.013565941108085948,7752,0.07467389106750488
2,31,0.01334599570094988,7758,0.0753941535949707
2,32,0.013135772732775792,7762,0.07460498809814453
2,33,0.01293473777896828,7762,0.0810539722442627
2,34,0.012741839176095025,7763,0.07364702224731445
2,35,0.012555787537041655,7760,0.07633686065673828
2,36,0.012375237244559825,7760,0.07561922073364258
2,37,0.012198864366093251,7770,0.07558894157409668
2,38,0.012025452472453622,7767,0.0754549503326416
2,39,0.011854076774800304,7763,0.0752708911895752
2,40,0.011684397640308626,7762,0.0746603012084961
2,41,0.011516885170534332,7755,0.07533812522888184
2,42,0.011352682788576221,7762,0.07516217231750488
2,43,0.01119313069648375,7759,0.08484196662902832
2,44,0.011039310968091449,7758,0.07680106163024902
2,45,0.010891813913397667,7751,0.07674098014831543
2,46,0.010750754067745187,7747,0.075164794921875
2,47,0.010615962163226248,7756,0.07591605186462402
2,48,0.010487163206961369,7750,0.07649612426757812
2,49,0.010364047749310271,7750,0.07428383827209473
3,0,0.10068795643549297,7747,0.07659220695495605
3,1,0.0694579586140414,7756,0.07706785202026367
3,2,0.0591176643404436,7759,0.07635927200317383
3,3,0.053540957410592054,7746,0.07572197914123535
3,4,0.04867346129833,7750,0.07514786720275879
3,5,0.04503518157919596,7761,0.07817196846008301
3,6,0.04249455549138406,7755,0.0767521858215332
3,7,0.04054178434214333,7766,0.0758962631225586
3,8,0.03890551458107747,7761,0.0752410888671875
3,9,0.03746639000066609,7765,0.07622981071472168
3,10,0.036218269672189454,7758,0.07667303085327148
3,11,0.03512766792141537,7766,0.08193492889404297
3,12,0.034130361076121454,7757,0.0793619155883789
3,13,0.03318296747593347,7763,0.07556676864624023
3,14,0.032210800354840516,7764,0.07558894157409668
3,15,0.030966079555856826,7750,0.07386183738708496
3,16,0.0292303977699831,7747,0.07530808448791504
3,17,0.027385036435480188,7759,0.07532286643981934
3,18,0.025762369432004273,7757,0.07648706436157227
3,19,0.024765901213950097,7753,0.07539820671081543
3,20,0.023616714843263824,7756,0.07545685768127441
3,21,0.020508241217636267,7760,0.07407617568969727
3,22,0.01833992073629969,7763,0.07520103454589844
3,23,0.017168165166807865,7765,0.10113883018493652
3,24,0.016317204469040447,7759,0.08027887344360352
3,25,0.015657602342922714,7755,0.07413005828857422
3,26,0.015119335489836062,7751,0.08101582527160645
3,27,0.014662760914272922,7744,0.07407999038696289
3,28,0.014264453324175193,7742,0.07593989372253418
3,29,0.013909390478641344,7739,0.0748741626739502
3,30,0.013587499203815898,7740,0.07537484169006348
3,31,0.01329182715908838,7740,0.07547783851623535
3,32,0.013017455836899469,7736,0.07569599151611328
3,33,0.012760847063364219,7737,0.07565593719482422
3,34,0.012519444720595782,7743,0.07501101493835449
3,35,0.012291415248771862,7749,0.07390379905700684
3,36,0.012075456813188095,7742,0.07578873634338379
3,37,0.011870637199485043,7747,0.07588005065917969
3,38,0.011676243834941865,7747,0.07396411895751953
3,39,0.011491655670546629,7740,0.07438111305236816
3,40,0.011316262382920085,7739,0.07570815086364746
3,41,0.011149441031677533,7741,0.07518887519836426
3,42,0.010990570349341148,7739,0.07615923881530762
3,43,0.010839053150119527,7737,0.07471990585327148
3,44,0.010694330371451444,7741,0.07909393310546875
3,45,0.010555885067414703,7748,0.08084464073181152
3,46,0.010423240604306674,7751,0.07631206512451172
3,47,0.010295956977378697,7759,0.07840418815612793
3,48,0.010173627238665555,7756,0.07547497749328613
3,49,0.010055874613319825,7757,0.07664990425109863
4,0,0.09292800441204853,7759,0.07491111755371094
4,1,0.062081267387703656,7768,0.0767359733581543
4,2,0.05236928254690281,7768,0.0756077766418457
4,3,0.04544300816028904,7769,0.07590818405151367
4,4,0.039594324580155264,7766,0.0745997428894043
4,5,0.036521406487561206,7765,0.07763195037841797
4,6,0.03438701473759133,7759,0.07464194297790527
4,7,0.03257121921356375,7765,0.07767987251281738
4,8,0.030808079522951927,7767,0.08035612106323242
4,9,0.029271731405833303,7762,0.07634878158569336
4,10,0.02809663529917808,7765,0.0741121768951416
4,11,0.027138634422383835,7761,0.07745575904846191
4,12,0.02630168010611184,7761,0.07389283180236816
4,13,0.025517997356304178,7757,0.07527899742126465
4,14,0.024806448196691058,7764,0.07465195655822754
4,15,0.02418973766546043,7761,0.07639789581298828
4,16,0.023646037529783306,7755,0.07462191581726074
4,17,0.023156663867102148,7759,0.07512402534484863
4,18,0.02271034619119009,7755,0.07436394691467285
