attempt,epoch,training_error,nonzero_params,delta_time
0,0,0.13992427970580626,6085130,32.50443124771118
0,1,0.08574694216862479,6085123,32.411710023880005
0,2,0.07966921064453485,6085087,32.490561962127686
0,3,0.07619936674793792,6085070,32.479552030563354
0,4,0.07564623727166718,6085025,32.386975049972534
0,5,0.07432000431241739,6085050,33.17105317115784
0,6,0.07367180924761857,6085039,33.77071189880371
0,7,0.07318395202545255,6085040,32.5595498085022
0,8,0.0730103446217155,6085037,32.45846223831177
0,9,0.072862190592327,6085038,32.43504500389099
0,10,0.0726585902197444,6084987,32.3969247341156
0,11,0.07212428203917978,6084990,32.33658504486084
0,12,0.07205675777615597,6084990,32.463791847229004
0,13,0.07159911190429206,6085000,32.51551079750061
0,14,0.07155549688274798,6085003,32.81991219520569
0,15,0.0714983461861981,6084997,32.97032189369202
0,16,0.07145438473047225,6084993,32.37479615211487
0,17,0.07147621342077873,6084991,32.30732703208923
0,18,0.07126194119036122,6084994,32.423898696899414
0,19,0.07119938570652501,6084989,52.942424058914185
0,20,0.07119860325816421,6084988,37.77974891662598
0,21,0.07119720567121317,6084989,91.16386413574219
0,22,0.07119356283896,6084984,54.96417212486267
0,23,0.07117398365440883,6084988,34.55908012390137
0,24,0.07109930044691522,6084988,34.6947820186615
0,25,0.071098181897613,6084981,33.30850100517273
0,26,0.07109426231847056,6084979,32.88295602798462
0,27,0.07110674888705416,6084999,33.83185577392578
0,28,0.07099938711321861,6084999,32.4946711063385
0,29,0.07099906245837967,6084999,32.599836111068726
0,30,0.07099865020558199,6085000,32.35754203796387
0,31,0.07099807866630792,6085002,32.42193031311035
0,32,0.07099720222719602,6085000,32.332196950912476
0,33,0.07099565705991576,6085005,32.359004974365234
0,34,0.07099224848161481,6085007,32.44656991958618
0,35,0.07098070000108359,6085016,32.50680589675903
0,36,0.07086020389753282,6085026,32.38606572151184
0,37,0.07058233734485707,6085038,32.59230613708496
0,38,0.07052342505970856,6085029,32.54903602600098
0,39,0.07034454232016234,6085046,32.5145218372345
0,40,0.07029594419203919,6085044,32.61228394508362
0,41,0.0702051732078774,6085033,32.54689407348633
0,42,0.07020089213824915,6085032,32.48313903808594
0,43,0.07020055263212449,6085031,32.70700216293335
0,44,0.07020009347546628,6085028,32.59763693809509
0,45,0.07019913208342479,6085029,32.46310997009277
0,46,0.07019486729218442,6085032,32.705175161361694
0,47,0.07011417758893743,6085032,35.55252981185913
0,48,0.07010061939677636,6085030,32.64260506629944
0,49,0.07010051844728725,6085030,32.772562980651855
1,0,0.1665127293694214,6084657,33.10161113739014
1,1,0.09062535943582886,6084632,33.91925621032715
1,2,0.08486638406763884,6084636,33.198081731796265
1,3,0.08236456464943918,6084612,33.80990695953369
1,4,0.08023888184164592,6084632,32.16883206367493
1,5,0.07893941982526309,6084611,32.95902729034424
1,6,0.07714710537537157,6084618,32.55403685569763
1,7,0.07616673697497015,6084653,32.60796904563904
1,8,0.07516415875414359,6084638,31.19497776031494
1,9,0.0744206414808379,6084626,32.73365592956543
1,10,0.07421291181953328,6084639,33.117565870285034
1,11,0.07394555867360661,6084621,32.6205689907074
1,12,0.07385646753954397,6084627,33.18411898612976
1,13,0.07376471007021593,6084650,31.764232873916626
1,14,0.07328746453975725,6084657,32.693061113357544
1,15,0.07300669203824979,6084644,35.02849292755127
1,16,0.07271581635430514,6084660,31.184470891952515
1,17,0.07215549456624124,6084646,31.53422212600708
1,18,0.0715044004256171,6084632,33.38502597808838
1,19,0.07119058739844944,6084638,33.539098262786865
1,20,0.07110517951793023,6084642,34.83411884307861
1,21,0.07109797167457853,6084643,34.45728921890259
1,22,0.07109387970264694,6084646,31.68512725830078
1,23,0.0710822398154196,6084647,31.272958993911743
1,24,0.07098875161467791,6084637,31.31481099128723
1,25,0.0709261194763942,6084649,33.118682861328125
1,26,0.07081754244032033,6084655,32.50268006324768
1,27,0.07080125716561629,6084657,35.14265704154968
1,28,0.07087868941371334,6084672,32.49912095069885
1,29,0.07023586208981333,6084688,33.0394811630249
1,30,0.06940689584850113,6084684,34.0361111164093
1,31,0.06757169942463628,6084685,34.961267948150635
1,32,0.06596084205700485,6084706,33.28874206542969
1,33,0.06484571450554803,6084744,31.58089303970337
1,34,0.06391134755385053,6084748,31.43120312690735
1,35,0.0632517442209693,6084744,30.53422474861145
